id,role,type,description,size/ratio,style line ref,source
higgsfield_world_props_runtime_v2,background prop sheet,image,"Sixteen Higgsfield-generated cyber-jungle world props: M medallions, terminals, vines, wall plates, crates, pad modules, mushrooms, lock panels and warning strips","4x4 transparent png sheet","glossy premium 2.5D neon cyber-jungle; black/gold circuitry; purple-pink energy; side-view readable silhouettes",generate
higgsfield_heart_fx_sheet_runtime_v2,combat FX sprite sheet,image,"Higgsfield-generated heart bullets, short laser segments, impact sparks, shield rings and reward flares repacked into engine rows","5x4 transparent png sheet","glossy premium 2.5D neon cyber-jungle; black/gold circuitry; purple-pink energy; side-view readable silhouettes",generate
higgsfield_enemy_motion_runtime_v2,enemy animation sheets,image,"Higgsfield-generated drone, robot dog and cannon/turret frame strips normalized to fixed transparent cells","8-frame transparent png strips","glossy premium 2.5D neon cyber-jungle; black/gold circuitry; purple-pink energy; side-view readable silhouettes",generate
higgsfield_robot_dog_walk_runtime_v2,enemy animation strip,image,"Active Higgsfield robot dog walk strip rendered with smaller runtime hitbox and visual scale so the dog fits the hero and platform proportions","8-frame transparent png strip","glossy premium 2.5D neon cyber-jungle; black/gold circuitry; purple-pink energy; side-view readable silhouettes",generate
higgsfield_cannon_turret_motion_runtime_v2,enemy hazard animation strip,image,"Active Higgsfield cannon/turret strip rendered with smaller runtime hitbox and visual scale so the cannon fits the platform proportions","8-frame transparent png strip","glossy premium 2.5D neon cyber-jungle; black/gold circuitry; purple-pink energy; contained muzzle and short beam timing",generate
higgsfield_missing_world_props_runtime_v1,background prop sheet,image,"Higgsfield reference-matched wall panels, mossy platform chunks, vault doors, shield pickups, shards, and impact props repacked to clean equal cells","4x4 transparent png sheet","glossy premium 2.5D neon cyber-jungle; black/gold circuitry; purple-pink energy; no clipped edges",generate
higgsfield_missing_fx_sheet_runtime_v1,combat FX sprite sheet,image,"Reference-matched missing FX sheet with repaired frames 2, 3, 4, 5, 6, 12, 16, 18, and 20 for heart shots, sparks, vault reward, and short beam frames","5x4 transparent png sheet","glossy premium 2.5D neon cyber-jungle; black/gold circuitry; purple-pink energy; clean transparent cells",generate
higgsfield_fx_repair_runtime_v1,combat FX sprite sheet,image,"Higgsfield green-screen FX repair sheet keyed to transparency with row-one heart frames 2, 3, 4, and 5 procedurally rebuilt to prevent cropped projectile trails and cleaned for green-screen spill","5x4 transparent png sheet","glossy premium 2.5D neon cyber-jungle; black/gold circuitry; purple-pink energy; fixed equal cells",generate
title3d_reference_backdrop_v2,startup 3D background,image,"Higgsfield reference-matched mascot-free cyber-jungle vault title backdrop with purple nebula, circuit walls, floating platforms, vines, fog, and giant heart-core vault","16:9 jpg","cinematic 3D cyber-jungle; black/gold circuit architecture; purple-magenta heart energy; readable side-view depth",higgsfield
title3d_platform_wall_kit_v2,startup 3D card kit,image,"Higgsfield reference-matched floating platform chunks, wall slabs, hanging vines, tower panels, and foreground floor pieces for parallax card placement","1:1 transparent png cards","cinematic 3D cyber-jungle; black/gold circuit architecture; purple-magenta heart energy; generous padding; no cropped edges",higgsfield
title3d_props_kit_v2,startup 3D card kit,image,"Higgsfield reference-matched crates, locks, M emblem, power pylons, terminals, mushrooms, crystals, vines, and vault props for interactive title-world cards","1:1 transparent png cards","cinematic 3D cyber-jungle; black/gold circuit architecture; purple-magenta heart energy; generous padding; no cropped edges",higgsfield
title3d_energy_fx_kit_v2,startup 3D FX kit,image,"Higgsfield reference-matched fog ribbons, magenta energy swirls, heart-core aura, hologram scans, sparks, and portal mist for title-world glow layers","1:1 transparent png cards","cinematic 3D cyber-jungle; purple-magenta energy; soft fog; clean keyed effects; no cropped edges",higgsfield
higgsfield_reference_assets_runtime_v1,mission asset candidate sheet,image,"Higgsfield reference-generated ruby vial, vault key, heart shots, sparks, terminal, crates, crystal prop, cannon, pipes, and vault props keyed from green and repacked into clean fixed cells","5x4 transparent png sheet","glossy premium 2.5D neon cyber-jungle; ruby-pink pickups; black/gold circuitry; purple-pink energy; fixed equal cells",generate
higgsfield_batch_props_runtime_v1,mission/world prop sheet,image,"Latest Higgsfield reference batch with ruby vial, terminals, key pedestal, mossy platforms, pipes, relays, vault panels, portal hardware, cables, and cyber-jungle blocks","5x4 transparent png sheet","reference-matched black/gold cyber-jungle; purple-pink glow; fixed equal cells; no clipped audit cells",generate
higgsfield_batch_fx_retry_runtime_v1,combat FX and pickup sheet,image,"Clean retry Higgsfield batch with heart projectiles, ruby pickups, keys, shield/overdrive icons, muzzle flashes, short beams, sparks, and terminal glow elements","5x4 transparent png sheet","reference-matched glossy arcade FX; no text labels; fixed equal cells; transparent background",generate
higgsfield_batch_world_runtime_v1,world-fill scenery sheet,image,"Latest Higgsfield world element batch with platform chunks, wall panels, hanging vines, ladder parts, terminals, pipe clusters, mushrooms, grates, and cyber-vault filler objects","5x4 transparent png sheet","reference-matched cyber-jungle platform art; non-blocking scenery; fixed equal cells; transparent background",generate
higgsfield_photo_neon_jungle_bg_20260624,level background,image,"Higgsfield concept-matched neon jungle vault background generated from the approved screenshot reference","16:9 jpeg","glossy 2.5D black/gold cyber-jungle with violet mist and readable side-view combat space",generate
lottomind_hero_photo_atlas_runtime_v1,player animation atlas,image,"Updated Higgsfield LottoMind mascot atlas normalized from a 9x6 generation into the engine's 8x6 run, run-back, jump, crouch, shoot, and idle rows","8x6 transparent png sheet","approved hero mascot; black/gold outfit; purple-pink glow; fixed equal cells",generate
lottomind_hero_photo_dash_runtime_v1,player dash strip,image,"Updated Higgsfield LottoMind mascot dash poses repacked into a one-row 8-frame transparent strip","8x1 transparent png strip","approved hero mascot; readable dash motion; fixed equal cells",generate
higgsfield_photo_world_retry_runtime_v1,world-fill scenery sheet,image,"Cleaner Higgsfield photo-reference world object batch with complete platform pieces, vines, ladder, ruby vial, vault plates, lock props, pipes, and cyber-jungle filler objects","5x4 transparent png sheet","reference-matched cyber-jungle platform art; ruby vial restored; fixed equal cells; transparent background",generate
higgsfield_userref_fx_runtime_v1,combat FX and pickup sheet,image,"Higgsfield user-upload-reference FX sheet with heart projectiles, ruby shard, ruby vial, gold key, shield icon, short beam, cannon muzzle flash, sparks, smoke, reward star, pickup ring, and particles","5x4 transparent png sheet","user-reference-matched glossy 2.5D black/gold/purple LottoMind arcade FX; fixed equal cells; transparent background",generate
higgsfield_userref_world_runtime_v1,world-fill scenery candidate sheet,image,"Higgsfield user-upload-reference world prop sheet with cyber panels, moss platform, vines, ladder, ruby vial, medallion, portal, crate, doors, pipe, conduit, mushrooms, plants, terminal, floor chunk, and plaque","5x4 transparent png sheet","user-reference-matched cyber-jungle platform art; candidate due tiny readable markings; fixed equal cells; transparent background",generate
lottomind_hero_userref_candidate_source_20260624,player candidate source,image,"Higgsfield user-upload-reference hero motion source kept as a non-runtime candidate because the original hero is preferred","4:3 png source","candidate only; original hero remains active",generate
higgsfield_separate_fx_repair_runtime_v2,combat FX runtime sheet,image,"Final repaired FX sheet with frames 2, 3, 4, 5, 6, 17, 18, and 19 generated as separate transparent cells and repacked to remove cutoffs","5x4 transparent png sheet","clean LottoMind heart bullets, hit spark, cannon muzzle, and beam cells; no clipped frame edges",local
higgsfield_separate_fx_repair_runtime_v3,combat FX runtime sheet,image,"Higgsfield regenerated separate replacement cells for FX frames 2, 3, 4, 5, 6, 17, 18, and 19 from the uploaded reference media, green-keyed and repacked into the active runtime sheet","5x4 transparent png sheet","reference-matched glossy heart projectiles, hit/cannon/short beam cells; no clipped frame edges",generate
asset_polish_runtime_v1,active polish batch,image,"Cleaned active drone motion, rebuilt drone FX frame 2, shortened drone laser overlay sheet, resized boss motion sheets, and refreshed shield, cannon, FX, and world-prop runtime sheets","transparent png sprite sheets","asset audit pass; fixed equal cells; no frame edge touches reported; original hero unchanged",local
ghost_artifact_clean_runtime_v1,active cleanup batch,image,"Removed border-connected semi-transparent plate haze from active mission props, world props, prop batches, and FX batches so objects no longer draw square ghost boxes in the background","transparent png sprite sheets","flood-fill cleanup from sprite cell borders; sourceInset applied to scenery draws; original hero unchanged",local
digital_static_10_game_music,game music,audio,"Digital static MP3 copied into the game as the active looping gameplay music track","mp3","plays during active runs only; paused in menus/results; controlled by Music toggle",local
